Sr No ,SKU,IMAGE ,PRODUCT NAME,CATEGORY,SUB -CATEGORY,TYPE OF PRODUCT (FG / RM / PKG),DEPARTMENT (DOM / EXP),BRAND,MRP,DESCRIPTION,GST %,HS Code,HSN Code,GS1 BARCODE,SHELF LIFE (DAYS),Size,"Type of Unit (Unit, KG, Litres)",PACKAGING,"WEIGHT 
IN KG",DIMENSION IN CM  (LXBXH),Supplier Code,SUPPLIER NAME,GTIN,Barcode,
11,VG-SUP-TAB-11,,Vishwa Mother's Wellness,Supplements,Tablets ,FG ,DOM,Vishwa Wellness,? 399.00,"Specially designed to support women through the journey of motherhood, Vishwa Mother’s Wellness Tablets combine the wisdom of Ayurveda with the purity of nature. Enriched with Brahmi, Shatavari, Ashwagandha, Giloy, Tulsi, Haldi, Methi, Saffron, Edible Gum, Licorice, Moringa Oleifera, Ginger, Nutmeg & Cinnamon, this unique formula provides essential nourishment, strength, and balance for mothers at every stage. Fortified with the powerful energy of Agnihotra Ash, it promotes overall vitality and inner harmony.",18%,,21069099,,18 Months ,,,Plastic Bottle with Outer Carton ,,5.2*5.2*10,VC-02,"HHC Axioms Pvt Ltd , Belgaum Karnataka ",8906085713687,,
12,VG-SUP-TAB-12,,Vishwa Calci Wellness,Supplements,Tablets ,FG ,DOM,Vishwa Wellness,? 399.00,"Strengthen your foundation with Vishwa Calci Wellness Tablets, a unique Ayurvedic nutraceutical blend fortified with the sacred Agnihotra Ash. Specially formulated with natural herbs and bioavailable calcium sources, this supplement helps maintain strong bones, flexible joints, and overall musculoskeletal health. Infused with Calcium Citrate Malate, Cissus Quadrangularis, Ashwagandha, Boswellia Serrata, Sida Cordifolia, Calcium Carbonate, Nutmeg, and Jatamansi, it offers holistic nourishment for bones, joints, and overall vitality.",18%,,21069099,,18 Months ,,,Plastic Bottle with Outer Carton ,,5.2*5.2*10,VC-02,"HHC Axioms Pvt Ltd , Belgaum Karnataka ",8906085713694,,
13,VG-SUP-TAB-13,,Vishwa Vita Wellness,Supplements,Tablets ,FG ,DOM,Vishwa Wellness,? 399.00,"Bring balance and vitality to your everyday life with Vishwa Vita Wellness Tablets – a powerful blend of Multivitamins, Multiminerals, and Antioxidants fortified with the unique healing essence of Agnihotra Ash. Specially formulated with 100% vegetarian and natural herbal ingredients, these tablets provide comprehensive nutritional support to keep you energized, active, and protected from daily stress and oxidative damage.",18%,,21069099,,18 Months ,,,Plastic Bottle with Outer Carton ,,5.2*5.2*10,VC-02,"HHC Axioms Pvt Ltd , Belgaum Karnataka ",8906085713700,,
14,VG-SUP-TAB-14,,Vishwa Memo  Wellness,Supplements,Tablets ,FG ,DOM,Vishwa Wellness,? 399.00,"Support your body’s natural cleansing and rejuvenation with Vishwa Hemo Wellness Tablets, a unique blend of powerful Ayurvedic herbs fortified with the healing energy of Agnihotra Ash. Formulated with Sariva, Halad, Daruharidra, Neem, Giloy, Manjistha, and Chiraita, these tablets are crafted to purify the blood, boost immunity, and promote clear, healthy skin.",18%,,21069099,,18 Months ,,,Plastic Bottle with Outer Carton ,,5.2*5.2*10,VC-02,"HHC Axioms Pvt Ltd , Belgaum Karnataka ",8906085713717,,
15,VG-SUP-TAB-15,,Vishwa Menso Wellness,Supplements,Tablets ,FG ,DOM,Vishwa Wellness,? 399.00,"Experience natural support for women’s health with Vishwa Menso Wellness Tablets, enriched with the balancing energy of Agnihotra Ash and a powerful blend of time-honoured Ayurvedic herbs. Formulated with Ashoka, Shatavari, Maka, Lodhra, Praksia, Aloe Vera, Punarnava, and Zinc, these tablets are designed to promote hormonal balance, regulate cycles, and provide comfort during menstruation.",18%,,21069099,,18 Months ,,,Plastic Bottle with Outer Carton ,,5.2*5.2*10,VC-02,"HHC Axioms Pvt Ltd , Belgaum Karnataka ",8906085713724,,
16,VG-SUP-TAB-16,,Vishwa Hair Care Tablets,Supplements,Tablets ,FG ,DOM,Vishwa Wellness,? 399.00,"Nourish your hair from within with Vishwa Hair Care Tablets, a holistic blend of time-tested Ayurvedic herbs fortified with the unique power of Agnihotra Ash. Enriched with Bhringraj, Yashti, Brahmi, Gulvel, Gokhru, Amla, and natural iron sources like Ferrous Ascorbate & Ferric Pyrophosphate, these tablets are designed to restore your hair’s natural strength, shine, and vitality.",18%,,21069099,,18 Months ,,,Plastic Bottle with Outer Carton ,,5.2*5.2*10,VC-02,"HHC Axioms Pvt Ltd , Belgaum Karnataka ",8906085713731,,
17,VG-SUP-TAB-17,,Vishwa Revive Wellness,Supplements,Tablets ,FG ,DOM,Vishwa Wellness,? 499.00,"Rediscover balance and vitality with Vishwa Revive Wellness Tablets, a unique nutraceutical blend of time-tested Ayurvedic herbs and natural superfoods. Enriched with the sacred Agnihotra Ash, these tablets are carefully crafted to support overall wellness, enhance immunity, and rejuvenate the body and mind. Formulated with a powerful combination of Brahmi, Shankhpushpi, Ashwagandha, Giloy, Spirulina, Jatamansi, Ginseng, Ginkgo Biloba, Moringa, and Alfalfa, each tablet delivers holistic nourishment for daily health and energy.",18%,,21069099,,18 Months ,,,Plastic Bottle with Outer Carton ,,5.2*5.2*10,VC-02,"HHC Axioms Pvt Ltd , Belgaum Karnataka ",8906085713748,,
18,VG-SUP-TAB-18,,Sleep Well Tablet,Supplements,Tablets ,FG ,DOM,Vishwa Wellness,? 339.00,,5%,,21069099,,,,,Plastic Bottle with Outer Carton ,,5.2*5.2*10,VC-02,"HHC Axioms Pvt Ltd , Belgaum Karnataka ",8906085716787,,
19, VG-SUP-PWD-01,,Women's Wellness - Kesar Pista ,Supplements,Powder ,FG ,DOM,Vishwa Wellness,? 449.00,,5%,,21061000,,,,,Plastic Bottle with Outer Carton ,,5.2*5.2*10,VC-02,"HHC Axioms Pvt Ltd , Belgaum Karnataka ",8906085716794,,
20, VG-SUP-PWD-02,,Men's Wellness - Vanilla,Supplements,Powder ,FG ,DOM,Vishwa Wellness,? 449.00,,5%,,21061000,,,,,Plastic Bottle with Outer Carton ,,5.2*5.2*10,VC-02,"HHC Axioms Pvt Ltd , Belgaum Karnataka ",8906085716800,,
21, VG-SUP-PWD-03,,Kids Wellness - Chocolate,Supplements,Powder ,FG ,DOM,Vishwa Wellness,? 449.00,,5%,,21061000,,,,,Plastic Bottle with Outer Carton ,,5.2*5.2*10,VC-02,"HHC Axioms Pvt Ltd , Belgaum Karnataka ",8906085716817,,
22,VG-SUP-TAB-19,,Shatavari kalpa (250 grams ),Supplements,Powder ,FG ,DOM,Vishwa Wellness,? 199.00,,5%,,,,,,,,,,,,8906085716824,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
